ra1,dec1,ra2,dec2,name,distance
87.830417,-20.879167,86.115833,-22.448333,Lepus,2.236334053642379
82.06125,-20.759444,86.115833,-22.448333,Lepus,4.1305058341063665
82.06125,-20.759444,83.1825,-17.822222,Lepus,3.122006460762642
82.06125,-20.759444,76.365417,-22.371111,Lepus,5.5363455830074715
78.232917,-16.205556,76.365417,-22.371111,Lepus,6.412250480036982
78.232917,-16.205556,83.1825,-17.822222,Lepus,5.001140940141561
78.232917,-16.205556,79.89375,-13.176667,Lepus,3.4284673530564254
79.99625,-12.315556,79.89375,-13.176667,Lepus,0.8668948969867594
78.232917,-16.205556,78.307917,-12.941389,Lepus,3.264973713904042
78.074583,-11.869167,78.307917,-12.941389,Lepus,1.0961707957712998
238.45625,-16.729444,233.881667,-14.789444,Libra,4.8107864847745105
229.251667,-9.383056,233.881667,-14.789444,Libra,7.050411843237962
229.251667,-9.383056,222.719583,-16.041667,Libra,9.213261264040204
226.0175,-25.281944,222.719583,-16.041667,Libra,9.740381799679282
226.0175,-25.281944,233.881667,-14.789444,Libra,12.823983785263746
237.739583,-33.627222,241.818333,-36.755556,Lupus,4.570427882409909
240.030417,-38.396944,241.818333,-36.755556,Lupus,2.168317326440311
240.030417,-38.396944,237.739583,-33.627222,Lupus,5.1165141888858
240.030417,-38.396944,233.785417,-41.166944,Lupus,5.53913044328773
234.513333,-42.5675,233.785417,-41.166944,Lupus,1.5017822761825348
234.513333,-42.5675,228.07125,-52.099167,Lupus,10.473980453592283
219.471667,-49.425833,228.07125,-52.099167,Lupus,6.05578792538911
220.4825,-47.388333,228.07125,-52.099167,Lupus,6.793343617680844
220.4825,-47.388333,216.545,-45.379444,Lupus,3.3776450522158754
220.4825,-47.388333,224.632917,-43.133889,Lupus,5.159164880720951
230.342917,-40.6475,224.632917,-43.133889,Lupus,4.9227741841966015
230.342917,-40.6475,230.451667,-36.261389,Lupus,4.386936527647272
230.342917,-40.6475,233.785417,-41.166944,Lupus,2.6528958667362956
140.26375,34.3925,139.71125,36.8025,Lynx,2.4514998470451936
136.6325,38.452222,139.71125,36.8025,Lynx,2.9437267620662824
136.6325,38.452222,135.16,41.782778,Lynx,3.515602497726727
125.70875,43.188056,135.16,41.782778,Lynx,7.105933839101583
125.70875,43.188056,111.678333,49.211389,Lynx,11.400437651755215
104.31875,58.4225,111.678333,49.211389,Lynx,10.170368106465993
104.31875,58.4225,94.905833,59.010833,Lynx,4.9189486663828825
279.234583,38.783611,281.193333,37.605,Lyra,1.9387117747515454
283.625833,36.898889,281.193333,37.605,Lyra,2.060879299354869
283.625833,36.898889,284.735833,32.689444,Lyra,4.3069024514250565
282.52,33.362778,284.735833,32.689444,Lyra,1.9760049506990958
282.52,33.362778,281.193333,37.605,Lyra,4.37745148644337
70.76625,-70.931111,82.970417,-76.341111,Mensa,6.382452419456292
312.492083,-33.779722,315.322917,-32.257778,Microscopium,2.8194597480908437
